Horizontal_Distance_To_Roadways,Soil_Type22,Soil_Type23,Soil_Type29,Horizontal_Distance_To_Fire_Points,Slope,Wilderness_Area4,Soil_Type39,Soil_Type38,Soil_Type2,Soil_Type40,Soil_Type4
339,0,0,0,1142,19,1,0,0,0,0,0
966,0,0,0,1082,30,0,0,0,0,0,0
4945,0,0,0,579,17,0,0,0,0,0,0
876,0,0,0,874,12,0,0,0,1,0,0
870,0,0,0,1168,13,1,0,0,0,0,0
932,0,0,0,942,21,0,0,0,0,1,0
6299,0,0,0,4311,26,0,0,0,0,0,0
2245,1,0,0,805,10,0,0,0,0,0,0
2978,1,0,0,1748,11,0,0,0,0,0,0
658,0,0,0,860,27,0,0,0,0,0,0
2554,0,0,0,875,12,0,0,0,0,0,0
810,0,0,0,170,23,0,0,0,0,0,0
5414,0,0,1,1176,25,0,0,0,0,0,0
837,0,0,0,1824,4,0,0,0,0,0,0
967,0,0,1,2096,16,0,0,0,0,0,0
1632,0,0,0,2734,7,0,0,0,0,0,0
446,0,0,0,633,5,0,0,0,0,0,0
1261,0,0,0,1746,19,0,0,0,0,0,0
2460,0,0,0,2474,17,0,0,0,0,0,0
1261,0,0,1,2398,7,0,0,0,0,0,0
5035,0,0,0,2998,17,0,0,0,0,0,0
553,0,0,1,1708,13,0,0,0,0,0,0
446,1,0,0,3772,20,0,0,0,0,0,0
408,0,0,0,618,15,1,0,0,0,0,1
5505,0,1,0,1846,11,0,0,0,0,0,0
916,0,0,0,1905,10,0,0,0,0,0,0
1006,0,0,0,1356,6,0,0,0,0,0,0
451,0,0,0,234,13,1,0,0,0,0,0
1167,0,0,0,1201,26,1,0,0,0,0,0
295,0,0,1,2330,10,0,0,0,0,0,0
2372,0,0,0,2474,19,0,0,0,0,0,0
832,0,0,0,108,10,0,0,0,0,0,0
890,0,0,0,1062,13,0,0,0,1,0,0
212,0,0,0,342,19,1,0,0,0,0,0
3701,0,0,0,2240,8,0,0,1,0,0,0
402,0,0,1,1538,16,0,0,0,0,0,0
738,0,0,1,618,18,0,0,0,0,0,0
2731,0,1,0,1124,23,0,0,0,0,0,0
1302,0,0,0,2010,15,0,0,0,0,0,0
4377,1,0,0,3387,9,0,0,0,0,0,0
1261,0,0,0,3048,2,0,0,0,0,0,0
1980,0,0,0,902,10,0,0,0,0,0,0
5858,0,0,1,6036,3,0,0,0,0,0,0
1585,0,1,0,2877,10,0,0,0,0,0,0
3081,0,0,1,3140,29,0,0,0,0,0,0
1298,0,0,0,1641,26,0,0,0,0,0,0
2520,0,0,0,902,21,0,0,0,0,0,0
4914,1,0,0,499,5,0,0,0,0,0,0
2576,0,0,0,2034,14,0,0,0,0,0,0
1179,0,0,0,807,21,1,0,0,0,0,0
2813,0,0,0,1764,7,0,0,0,0,0,0
150,0,1,0,1962,11,0,0,0,0,0,0
1744,0,0,0,1776,27,0,1,0,0,0,0
360,0,0,0,1114,10,0,0,0,0,0,0
2525,0,0,0,1518,16,0,0,1,0,0,0
240,0,0,0,618,25,1,0,0,0,0,0
1866,0,0,0,2812,19,0,0,0,0,0,0
1106,0,0,0,865,13,0,1,0,0,0,0
6823,0,0,0,3092,9,0,0,0,0,0,0
2704,0,0,0,1544,16,0,0,0,0,0,0
700,1,0,0,2432,13,0,0,0,0,0,0
842,1,0,0,2040,13,0,0,0,0,0,0
3189,0,0,0,2847,28,0,0,0,0,0,0
1991,0,0,1,2930,8,0,0,0,0,0,0
4315,0,1,0,1786,9,0,0,0,0,0,0
2723,0,0,0,2278,14,0,0,0,0,0,0
2472,0,0,0,2543,15,0,0,0,0,0,0
1073,0,0,0,1714,7,0,0,0,0,0,0
424,0,1,0,2333,14,0,0,0,0,0,0
3287,0,0,1,1723,22,0,0,0,0,0,0
1240,0,0,0,872,26,1,0,0,0,0,0
4071,0,0,0,3375,14,0,1,0,0,0,0
759,0,0,0,854,10,0,0,0,0,0,0
2391,0,0,0,2059,5,0,0,0,0,0,0
4026,0,0,0,3151,12,0,0,0,0,0,0
3861,0,0,0,4156,12,0,1,0,0,0,0
1470,0,0,0,824,11,0,0,0,0,0,0
5766,1,0,0,560,3,0,0,0,0,0,0
2301,0,0,1,1187,11,0,0,0,0,0,0
5936,0,0,1,5881,10,0,0,0,0,0,0
3046,0,0,0,5268,16,0,0,0,0,0,0
845,0,0,0,1024,10,0,0,0,0,0,0
853,0,0,1,150,17,0,0,0,0,0,0
2543,0,0,0,573,12,0,0,0,0,0,0
1429,0,0,1,2707,22,0,0,0,0,0,0
3104,0,0,0,2324,13,0,0,0,0,0,0
750,0,1,0,454,8,0,0,0,0,0,0
1800,0,0,0,361,37,0,0,0,0,0,1
2640,0,0,1,2329,11,0,0,0,0,0,0
3420,0,0,1,3073,14,0,0,0,0,0,0
3827,0,0,0,2431,14,0,0,0,0,0,0
1048,0,0,0,2065,29,0,0,0,0,0,0
2116,0,0,0,4660,9,0,0,0,0,0,0
973,0,1,0,2359,13,0,0,0,0,0,0
1650,0,1,0,2240,11,0,0,0,0,0,0
3065,0,0,0,484,7,0,0,0,0,0,0
5232,0,0,1,3537,8,0,0,0,0,0,0
1243,0,0,0,1772,27,0,0,0,0,0,0
1277,0,0,0,2310,2,0,0,0,0,0,0
1218,0,0,0,342,17,0,0,0,0,0,0
1218,0,0,1,3756,14,0,0,0,0,0,0
510,0,0,0,2599,24,0,0,0,0,0,0
3812,0,0,0,6437,12,0,0,0,0,0,0
430,0,0,0,1874,20,0,0,0,0,0,0
2448,0,0,0,2461,8,0,0,0,0,0,0
4004,0,0,0,1401,26,0,0,0,0,0,0
1260,0,0,0,595,20,0,0,0,0,0,0
1018,0,0,0,1273,27,1,0,0,0,0,0
360,0,0,0,1182,3,0,0,0,0,0,0
2629,0,1,0,1084,10,0,0,0,0,0,0
2844,0,0,1,3474,8,0,0,0,0,0,0
3900,0,0,0,598,9,0,0,0,0,0,0
2424,0,0,1,2147,8,0,0,0,0,0,0
2088,0,0,0,1487,8,0,0,0,0,0,0
3717,0,0,0,2845,14,0,0,0,0,0,0
6093,0,0,1,5510,9,0,0,0,0,0,0
815,0,0,0,713,29,0,0,0,0,0,0
1702,0,0,0,3666,12,0,0,1,0,0,0
3528,0,0,1,6415,5,0,0,0,0,0,0
1026,0,1,0,1307,6,0,0,0,0,0,0
5426,0,0,1,607,2,0,0,0,0,0,0
990,0,0,0,1830,33,0,0,0,0,0,0
3085,0,0,1,2401,13,0,0,0,0,0,0
1454,0,0,0,589,12,0,0,0,0,0,0
379,1,0,0,1800,14,0,0,0,0,0,0
1822,0,0,0,2376,10,0,0,0,0,0,0
4832,0,0,1,3765,11,0,0,0,0,0,0
3894,0,1,0,182,10,0,0,0,0,0,0
